Distance	PosnConf	NumUserInput	isPeak
1700.0	0.021575121867270133	42	false	
1800.0	0.06368724613225409	42	false	
1900.0	0.10443982335923849	42	false	
2000.0	0.14386211269222351	42	false	
2100.0	0.18198305834720907	42	false	
2200.0	0.21883128961219506	42	false	
2300.0	0.2544351208471817	42	false	
2400.0	0.2888225514841687	42	false	
2500.0	0.6269524799997148	42	false	
2600.0	0.6269524799997148	42	false	
2700.0	0.6269524799997148	42	false	
2800.0	0.6269524799997148	42	false	
2900.0	0.9020236799995898	42	false	
3000.0	0.9020236799995898	42	false	
3100.0	0.9020236799995898	42	false	
3200.0	0.9020236799995898	42	false	
3300.0	0.9727436799995577	42	false	
3400.0	0.9727436799995577	42	false	
3500.0	0.9887428799995504	42	false	
3600.0	0.9967999999995467	42	true	
3700.0	0.9967999999995467	42	true	
3800.0	0.9887428799995504	42	false	
3900.0	0.9727436799995577	42	false	
4000.0	0.9727436799995577	42	false	
4100.0	0.9020236799995898	42	false	
4200.0	0.9020236799995898	42	false	
4300.0	0.9020236799995898	42	false	
4400.0	0.9020236799995898	42	false	
4500.0	0.6269524799997148	42	false	
4600.0	0.62695246131536	26	false	
4700.0	0.62695246131536	26	false	
4800.0	0.62695246131536	26	false	
4900.0	0.28882254287686715	26	false	
5000.0	0.2544351132646952	26	false	
5100.0	0.21882461141147844	16	false	
5200.0	0.1819775046652576	16	false	
5300.0	0.14385772236919772	16	false	
5400.0	0.09138484543953103	4	false	
5500.0	0.05572634036590861	4	false	
5600.0	0.018878231634036288	4	false	
9200.0	0.017962263281472757	95	false	
9300.0	0.043132843904240166	95	false	
9400.0	0.06773719985113204	95	false	
9500.0	0.09178628235785241	95	false	
9600.0	0.11529086561460036	95	false	
9700.0	0.13826154906289836	95	false	
9800.0	0.16070875967000353	95	false	
9900.0	0.18264275418104928	95	false	
10000.0	0.41420815884693035	95	false	
10100.0	0.41420815884693035	95	false	
10200.0	0.41420815884693035	95	false	
10300.0	0.41420815884693035	95	false	
10400.0	0.6697701374195688	95	false	
10500.0	0.6697701374195688	95	false	
10600.0	0.6697701374195688	95	false	
10700.0	0.6697701374195688	95	false	
10800.0	0.7800355549220935	95	false	
10900.0	0.7800355549220935	95	false	
11000.0	0.8219116954979605	95	false	
11100.0	0.8566404564729825	95	true	
11200.0	0.8566404564729825	95	true	
11300.0	0.8219116954979605	95	false	
11400.0	0.7800355549220935	95	false	
11500.0	0.7800355549220935	95	false	
11600.0	0.6697701374195688	95	false	
11700.0	0.6697701374195688	95	false	
11800.0	0.6697701374195688	95	false	
11900.0	0.6697701374195688	80	false	
12000.0	0.41420815884693035	80	false	
12100.0	0.41420815884693035	57	false	
12200.0	0.41420815884693035	57	false	
12300.0	0.41420815884693035	57	false	
12400.0	0.17393009289081016	57	false	
12500.0	0.1517920318081999	31	false	
12600.0	0.1281277922437635	8	false	
12700.0	0.10512592676702756	8	false	
12800.0	0.08159014658183365	8	false	
12900.0	0.05750986597345466	8	false	
13000.0	0.03287432493483395	8	false	
13100.0	0.007672586878764535	8	false	
23800.0	0.007263656867229997	88	false	
23900.0	0.031133082353049735	88	false	
24000.0	0.05448306465508721	88	false	
24100.0	0.07732374325801997	88	false	
24200.0	0.09966508201592202	88	false	
24300.0	0.12151687181654855	88	false	
24400.0	0.1428887332108025	88	false	
24500.0	0.16379011900776685	88	false	
24600.0	0.39207149144529824	88	false	
24700.0	0.39207149144529824	88	false	
24800.0	0.39207149144529824	88	false	
24900.0	0.39207149144529824	88	false	
25000.0	0.6397373156285344	88	false	
25100.0	0.6397373156285344	88	false	
25200.0	0.6397373156285344	88	false	
25300.0	0.6397373156285344	88	false	
25400.0	0.7497838509008925	88	false	
25500.0	0.7497838509008925	88	false	
25600.0	0.7925329527760787	88	false	
25700.0	0.8285954768658976	88	true	
25800.0	0.8285954768658976	88	true	
25900.0	0.7925329527760787	88	false	
26000.0	0.7497838509008925	88	false	
26100.0	0.7497838453145675	28	false	
26200.0	0.6397373108621199	28	false	
26300.0	0.6397373108621199	28	false	
26400.0	0.6397373108621199	28	false	
26500.0	0.6397373108621199	28	false	
26600.0	0.392071488524138	28	false	
26700.0	0.3920699958112519	19	false	
26800.0	0.3920699958112519	19	false	
26900.0	0.3920699958112519	19	false	
27000.0	0.17202036987211033	19	false	
27100.0	0.15130464363783167	19	false	
27200.0	0.13012217831745704	19	false	
27300.0	0.10841104033467691	12	false	
27400.0	0.08627749914161191	12	false	
27500.0	0.06364879696248919	12	false	
27600.0	0.04051504427874341	12	false	
27700.0	0.016866177096357175	12	false	
31600.0	0.0016594921874963657	4	false	
31700.0	0.00403019531249635	4	false	
31800.0	0.006400898437496326	4	false	
31900.0	0.00877160156249631	4	false	
32000.0	0.011142304687496295	4	false	
32100.0	0.013513007812496279	4	false	
32200.0	0.018152812499962704	40	false	
32300.0	0.020862187499957757	40	false	
32400.0	0.05418749999990102	40	false	
32500.0	0.05418749999990102	40	false	
32600.0	0.05418749999990102	40	false	
32700.0	0.05418749999990102	40	false	
32800.0	0.10837499999999918	67	false	
32900.0	0.10837499999999918	67	false	
33000.0	0.10837499999999918	67	false	
33100.0	0.10837499999999918	67	false	
33200.0	0.14449999999999893	67	false	
33300.0	0.14603245486815475	81	false	
33400.0	0.17894102105277254	81	false	
33500.0	0.2109915737447131	81	false	
33600.0	0.2251193334669626	81	false	
33700.0	0.22226127633989812	81	false	
33800.0	0.2197992434122197	81	false	
33900.0	0.23389720698526162	81	false	
34000.0	0.21601924773268452	81	false	
34100.0	0.3840590139967245	81	false	
34200.0	0.3840590139967245	81	false	
34300.0	0.3840590139967245	81	false	
34400.0	0.34662589785591175	81	false	
34500.0	0.5599692125666312	80	false	
34600.0	0.5599692125666312	80	false	
34700.0	0.5599692125666312	80	false	
34800.0	0.543960704678739	80	false	
34900.0	0.6543998922298431	80	false	
35000.0	0.6534472715967279	80	false	
35100.0	0.6995989244325826	80	false	
35200.0	0.7406766759697921	80	true	
35300.0	0.7399677332259843	80	false	
35400.0	0.6971284450837981	80	false	
35500.0	0.648684168431152	80	false	
35600.0	0.6483983822412159	77	false	
35700.0	0.5347589639242782	77	false	
35800.0	0.5347589639242782	77	false	
35900.0	0.5347589639242782	77	false	
36000.0	0.5347589639242782	77	false	
36100.0	0.30919278171509895	77	false	
36200.0	0.30919278171481773	41	false	
36300.0	0.30919278171481773	41	false	
36400.0	0.30919278171481773	41	false	
36500.0	0.13353651577749118	41	false	
36600.0	0.11750163385617492	41	false	
36700.0	0.10122113008907227	41	false	
36800.0	0.08468159728733327	14	false	
36900.0	0.06790266107804696	14	false	
37000.0	0.05086883517536854	14	false	
37100.0	0.033576958151311974	14	false	
37200.0	0.016023837096833436	14	false	
38100.0	0.001451767253926866	30	false	
38200.0	0.003524262748997661	30	false	
38300.0	0.005595043763951799	30	false	
38400.0	0.007664110843524829	30	false	
38500.0	0.009731464532452296	30	false	
38600.0	0.01179710539744357	59	false	
38700.0	0.013861033943130919	59	false	
38800.0	0.01592325073237616	59	false	
38900.0	0.0411487165085786	96	false	
39000.0	0.0411487165085786	96	false	
39100.0	0.0411487165085786	96	false	
39200.0	0.0411487165085786	96	false	
39300.0	0.08161562843342765	96	false	
39400.0	0.08161562843342765	96	false	
39500.0	0.08161562843342765	96	false	
39600.0	0.08161562843342765	96	false	
39700.0	0.10821694143403662	96	false	
39800.0	0.10821694143403662	96	false	
39900.0	0.12140509365892985	96	false	
40000.0	0.13451845823771597	96	true	
40100.0	0.13451845823771597	96	true	
40200.0	0.12140509365892985	96	false	
40300.0	0.10821694143403662	96	false	
40400.0	0.10821694143403662	98	false	
40500.0	0.08161562843342765	98	false	
40600.0	0.08161562843342765	98	false	
40700.0	0.08161562843342765	98	false	
40800.0	0.08161562843342765	98	false	
40900.0	0.0411487165085786	98	false	
41000.0	0.0411487165085786	99	false	
41100.0	0.0411487165085786	99	false	
41200.0	0.0411487165085786	99	false	
41300.0	0.01509856939258402	99	false	
41400.0	0.013035667966130203	99	false	
41500.0	0.010971054565340052	99	false	
41600.0	0.008904728645478026	99	false	
