Distance	PosnConf	NumUserInput	isPeak
93500.0	0.5469581877715182	37	false	
93600.0	0.6280319440178215	37	false	
93700.0	0.695104785821231	235	false	
93800.0	0.7505077223226306	235	false	
93900.0	0.984188557607417	235	false	
94000.0	0.984188557607417	235	false	
94100.0	0.984188557607417	235	false	
94200.0	0.984188557607417	235	false	
94300.0	0.9999082748768147	235	false	
94400.0	0.9999082748768147	235	false	
94500.0	0.9999082748768147	235	false	
94600.0	0.9999082748768147	235	false	
94700.0	0.9999989363331038	235	false	
94800.0	0.9999989363331038	235	false	
94900.0	0.9999999356070159	235	false	
95000.0	0.9999999980793818	235	true	
95100.0	0.9999999980793818	235	true	
95200.0	0.9999999356070159	235	false	
95300.0	0.9999989363331038	235	false	
95400.0	0.9999989363331038	235	false	
95500.0	0.9999082748768147	235	false	
95600.0	0.9999082748768147	235	false	
95700.0	0.9999082748768147	235	false	
95800.0	0.9999082748768147	235	false	
95900.0	0.984188557607417	235	false	
96000.0	0.984188557607417	235	false	
96100.0	0.984188557607417	235	false	
96200.0	0.984188557607417	235	false	
96300.0	0.7877540385999938	235	false	
96400.0	0.7402618900996313	235	false	
96500.0	0.6826926227568841	235	false	
96600.0	0.6130191617321692	235	false	
96700.0	0.5288279723356895	235	false	
96800.0	0.4272492506054477	235	false	
96900.0	0.3048751696200539	235	false	
97000.0	0.15766424653753588	235	false	
