CST,0
Masjid Bunder ,2000
Sandhurst Road ,1000
Byculla ,2000
Chinchpokli ,1000
Currey Road ,1000
Parel ,1000
Dadar ,1000
Matunga ,2000
Sion ,2000
Kurla ,3000
Vidyavihar ,2000
Ghatkopar ,2000
Vikhroli ,3000
Kanjurmarg ,2000
Bhandup ,1000
Nahur ,2000
Mulund ,3000
Thane ,3000
Kalwa ,2000
Mumbra ,4000
Diwa ,3000
Kopar ,4000
Dombivli ,2000
Thakurli ,1000
Kalyan ,4000
