"Positions , NearestTruthDis"
2600.0,148260.0
10900.0,139960.0
17900.0,132960.0
18600.0,132260.0
24100.0,126760.0
40900.0,109960.0
42700.0,108160.0
"AvgPosConf, 0.88524184884"
"MaxPosConf,1.0"
