Distance	PosnConf	NumUserInput	isPeak
7500.0	1.5428571428584284E-4	2	false	
7600.0	4.1142857142870327E-4	2	false	
7700.0	6.685714285715628E-4	2	false	
7800.0	9.257142857144233E-4	2	false	
7900.0	0.0011828571428572838	2	false	
8000.0	0.0014400000000001432	2	false	
8100.0	0.0016971428571430037	2	false	
8200.0	0.0019542857142858636	2	false	
8300.0	0.005142857142857204	2	false	
8400.0	0.005142857142857204	2	false	
8500.0	0.005142857142857204	2	false	
8600.0	0.005142857142857204	2	false	
8700.0	0.010285714285714408	2	false	
8800.0	0.010285714285714408	2	false	
8900.0	0.010285714285714408	2	false	
9000.0	0.010285714285714408	2	false	
9100.0	0.01371428571428588	2	false	
9200.0	0.01371428571428588	2	false	
9300.0	0.015428571428571614	2	false	
9400.0	0.01714285714285735	2	true	
9500.0	0.01714285714285735	2	true	
9600.0	0.015428571428571614	2	false	
9700.0	0.01371428571428588	2	false	
9800.0	0.01371428571428588	2	false	
9900.0	0.010285714285714408	2	false	
10000.0	0.010285714285714408	2	false	
10100.0	0.010285714285714408	2	false	
10200.0	0.010285714285714408	2	false	
10300.0	0.005142857142857204	2	false	
10400.0	0.005142857142857204	2	false	
10500.0	0.005142857142857204	2	false	
10600.0	0.005142857142857204	2	false	
10700.0	0.0019028571428570393	2	false	
10800.0	0.0016457142857141788	2	false	
10900.0	0.001388571428571319	2	false	
11000.0	0.0011314285714284584	2	false	
11100.0	8.742857142855985E-4	2	false	
11200.0	6.171428571427385E-4	2	false	
11300.0	3.5999999999987805E-4	2	false	
11400.0	1.0285714285701857E-4	2	false	
