NumUsr,AvgError,SD
50,123780.0,0.0
200,32004.166666666668,19135.22228553908
350,54096.0,35227.759058268406
500,23917.166666666664,25461.984330469517
650,12800.0,16429.88609709029
800,15786.333333333332,15458.468906951366
950,14587.5,16252.314524613812
