CST,0
Masjid Bunder ,2000
Sandhurst Road ,1000
Dockyard Road ,500
Reay Road ,500
Cotton Green ,1000
Sewri ,2000
Wadala ,2000
 G.T.B.nagar,2000
Chunabhatti ,2000
Kurla ,2000
Tilak Nagar ,1000
Chembur ,1000
Govandi ,2000
Mankhurd ,2000
Vashi ,8000
Sanpada ,1000
Juinagar ,2000
Nerul ,2000
Seawoods-Darave ,2000
CBD Belapur ,2000
Kharghar ,3000
Mansarovar ,2000
Khandeshwar ,3000
Panvel ,3000
