"Positions , NearestTruthDis"
2600.0,10400.0
10900.0,2100.0
17900.0,1100.0
19600.0,600.0
24100.0,3100.0
40900.0,2100.0
42900.0,100.0
"AvgPosConf, 0.983503675838"
"MaxPosConf,1.0"
