5800.0,2686.0,1.0
6000.0,2886.0,1.0
8900.0,5786.0,0.997661142009439
10000.0,6886.0,1.0
10200.0,7086.0,1.0
11100.0,7986.0,0.9999999701976776
23500.0,3434.0,1.0
23600.0,3534.0,1.0
24100.0,4034.0,1.0
25400.0,5334.0,1.0
25900.0,5834.0,1.0
44900.0,1874.0,1.0
45600.0,2574.0,1.0
46900.0,3874.0,1.0
47900.0,4874.0,1.0
48400.0,5374.0,1.0
49000.0,5974.0,1.0
49700.0,6674.0,1.0
51000.0,7974.0,1.0
71000.0,4176.0,1.0
72500.0,5676.0,1.0
73400.0,6576.0,1.0
74300.0,7476.0,1.0
75000.0,8176.0,1.0
94300.0,3404.0,0.932223243120486
95900.0,5004.0,0.9192102483328817
97000.0,6104.0,0.9808397850745592
97700.0,6804.0,1.0
97800.0,6904.0,1.0
